WORKING MODEL TRIAL 7-1-1-4 circular foot(6 feet),,,,,,,,
7/13/21 18:51,,,,,,,,
Velocity of Center of Mass of Circle 1,,,,Total Force on Circle 1          ,,,,
t,Vx,Vy,|V|,,t,Fx,Fy,|F|
0.72,22.447121,2.919483,22.63618,-,0.72,0.000193,-19.843124,19.843124
0.721,22.41154,2.869945,22.59455,-,0.721,0.000189,-19.843121,19.843121
0.722,22.376394,2.820722,22.55348,-,0.722,0.000186,-19.843117,19.843117
0.723,22.341685,2.771808,22.512969,-,0.723,0.000183,-19.843113,19.843113
0.724,22.307413,2.723199,22.473017,-,0.724,0.00018,-19.843109,19.843109
0.725,22.27358,2.674892,22.433622,-,0.725,0.000177,-19.843106,19.843106
0.726,22.240185,2.62688,22.394784,-,0.726,0.000173,-19.843102,19.843102
0.727,22.207231,2.579159,22.356502,-,0.727,0.00017,-19.843098,19.843098
0.728,22.174717,2.531726,22.318774,-,0.728,0.000167,-19.843095,19.843095
0.729,22.142643,2.484575,22.281602,-,0.729,0.000164,-19.843092,19.843092
0.73,22.111012,2.437702,22.244982,-,0.73,0.000161,-19.843088,19.843088
0.731,22.079823,2.391102,22.208916,-,0.731,0.000158,-19.843085,19.843085
0.732,22.049077,2.344772,22.173402,-,0.732,0.000155,-19.843082,19.843082
0.733,22.018774,2.298706,22.138439,-,0.733,0.000152,-19.843078,19.843078
0.734,21.988916,2.252901,22.104027,-,0.734,0.00015,-19.843075,19.843075
0.735,21.959502,2.207351,22.070164,-,0.735,0.000147,-19.843072,19.843072
0.736,21.930534,2.162053,22.036851,-,0.736,0.000144,-19.843069,19.843069
0.737,21.902012,2.117002,22.004086,-,0.737,0.000141,-19.843066,19.843066
0.738,21.873936,2.072193,21.971869,-,0.738,0.000138,-19.843063,19.843063
0.739,21.846307,2.027624,21.9402,-,0.739,0.000136,-19.84306,19.84306
0.74,21.819125,1.983288,21.909077,-,0.74,0.000133,-19.843057,19.843057
0.741,21.792391,1.939183,21.878499,-,0.741,0.00013,-19.843055,19.843055
0.742,21.766105,1.895303,21.848467,-,0.742,0.000127,-19.843052,19.843052
0.743,21.740269,1.851645,21.81898,-,0.743,0.000125,-19.843049,19.843049
0.744,21.714881,1.808205,21.790036,-,0.744,0.000122,-19.843046,19.843046
0.745,21.689944,1.764977,21.761636,-,0.745,0.00012,-19.843044,19.843044
0.746,21.665456,1.721959,21.733779,-,0.746,0.000117,-19.843041,19.843041
0.747,21.641419,1.679145,21.706464,-,0.747,0.000114,-19.843039,19.843039
0.748,21.617833,1.636533,21.67969,-,0.748,0.000112,-19.843036,19.843036
0.749,21.594699,1.594116,21.653457,-,0.749,0.000109,-19.843034,19.843034
0.75,21.572016,1.551893,21.627765,-,0.75,0.000107,-19.843032,19.843032
0.751,21.549785,1.509857,21.602613,-,0.751,0.000104,-19.843029,19.843029
0.752,21.528007,1.468007,21.578001,-,0.752,0.000102,-19.843027,19.843027
0.753,21.506681,1.426336,21.553927,-,0.753,0.000099,-19.843025,19.843025
0.754,21.485809,1.384842,21.530392,-,0.754,0.000097,-19.843023,19.843023
0.755,21.46539,1.34352,21.507394,-,0.755,0.000095,-19.843021,19.843021
0.756,21.445425,1.302366,21.484934,-,0.756,0.000092,-19.843019,19.843019
0.757,21.425914,1.261377,21.463011,-,0.757,0.00009,-19.843017,19.843017
0.758,21.406857,1.220547,21.441625,-,0.758,0.000087,-19.843015,19.843015
0.759,21.388256,1.179875,21.420774,-,0.759,0.000085,-19.843013,19.843013
0.76,21.370109,1.139354,21.40046,-,0.76,0.000083,-19.843011,19.843011
0.761,21.352417,1.098982,21.38068,-,0.761,0.00008,-19.843009,19.843009
0.762,21.335181,1.058755,21.361435,-,0.762,0.000078,-19.843007,19.843007
0.763,21.3184,1.018668,21.342724,-,0.763,0.000076,-19.843006,19.843006
0.764,21.302076,0.978718,21.324548,-,0.764,0.000074,-19.843004,19.843004
0.765,21.286208,0.9389,21.306904,-,0.765,0.000071,-19.843002,19.843002
0.766,21.270796,0.899212,21.289794,-,0.766,0.000069,-19.843001,19.843001
0.767,21.255841,0.859648,21.273217,-,0.767,0.000067,-19.842999,19.842999
0.768,21.241343,0.820206,21.257173,-,0.768,0.000065,-19.842998,19.842998
0.769,21.227302,0.780881,21.24166,-,0.769,0.000062,-19.842996,19.842996
0.77,21.213718,0.74167,21.226679,-,0.77,0.00006,-19.842995,19.842995
0.771,21.200592,0.702568,21.21223,-,0.771,0.000058,-19.842994,19.842994
0.772,21.187924,0.663572,21.198312,-,0.772,0.000056,-19.842992,19.842992
0.773,21.175713,0.624679,21.184925,-,0.773,0.000054,-19.842991,19.842991
0.774,21.16396,0.585883,21.172068,-,0.774,0.000051,-19.84299,19.84299
0.775,21.152666,0.547182,21.159742,-,0.775,0.000049,-19.842989,19.842989
0.776,21.141829,0.508572,21.147945,-,0.776,0.000047,-19.842988,19.842988
0.777,21.131452,0.470048,21.136679,-,0.777,0.000045,-19.842987,19.842987
0.778,21.121533,0.431608,21.125942,-,0.778,0.000043,-19.842986,19.842986
0.779,21.112072,0.393247,21.115734,-,0.779,0.000041,-19.842985,19.842985
0.78,21.103071,0.354961,21.106056,-,0.78,0.000039,-19.842984,19.842984
0.781,21.094528,0.316748,21.096906,-,0.781,0.000036,-19.842983,19.842983
0.782,21.086445,0.278602,21.088285,-,0.782,0.000034,-19.842982,19.842982
0.783,21.078821,0.240521,21.080193,-,0.783,0.000032,-19.842981,19.842981
0.784,21.071656,0.202501,21.072629,-,0.784,0.00003,-19.842981,19.842981
0.785,21.064951,0.164538,21.065593,-,0.785,0.000028,-19.84298,19.84298
0.786,21.058705,0.126627,21.059085,-,0.786,0.000026,-19.842979,19.842979
0.787,21.052918,0.088767,21.053105,-,0.787,0.000024,-19.842979,19.842979
0.788,21.047592,0.050952,21.047653,-,0.788,0.000022,-19.842978,19.842978
0.789,21.042725,0.013179,21.042729,-,0.789,0.00002,-19.842978,19.842978
0.79,21.038318,-0.024556,21.038332,-,0.79,0.000018,-19.842977,19.842977
0.791,21.03437,-0.062256,21.034462,-,0.791,0.000016,-19.842977,19.842977
0.792,21.030883,-0.099925,21.03112,-,0.792,0.000014,-19.842977,19.842977
0.793,21.027855,-0.137567,21.028305,-,0.793,0.000011,-19.842976,19.842976
0.794,21.025288,-0.175185,21.026018,-,0.794,0.000009,-19.842976,19.842976
0.795,21.023181,-0.212783,21.024257,-,0.795,0.000007,-19.842976,19.842976
0.796,21.021533,-0.250365,21.023024,-,0.796,0.000005,-19.842976,19.842976
0.797,21.020346,-0.287935,21.022318,-,0.797,0.000003,-19.842976,19.842976
0.798,21.019619,-0.325496,21.022139,-,0.798,0.000001,-19.842975,19.842975
0.799,21.019352,-0.363051,21.022487,-,0.799,-8.16E-07,-19.842975,19.842975
0.8,21.019545,-0.400606,21.023362,-,0.8,-0.000003,-19.842975,19.842975
0.801,21.020198,-0.438162,21.024764,-,0.801,-0.000005,-19.842975,19.842975
0.802,21.021311,-0.475725,21.026694,-,0.802,-0.000007,-19.842976,19.842976
0.803,21.022885,-0.513297,21.02915,-,0.803,-0.000009,-19.842976,19.842976
0.804,21.024918,-0.550882,21.032134,-,0.804,-0.000011,-19.842976,19.842976
0.805,21.027412,-0.588485,21.035645,-,0.805,-0.000013,-19.842976,19.842976
0.806,21.030366,-0.626108,21.039684,-,0.806,-0.000015,-19.842976,19.842976
0.807,21.033779,-0.663756,21.04425,-,0.807,-0.000017,-19.842977,19.842977
0.808,21.037653,-0.701431,21.049343,-,0.808,-0.000019,-19.842977,19.842977
0.809,21.041987,-0.739139,21.054965,-,0.809,-0.000021,-19.842978,19.842978
0.81,21.04678,-0.776881,21.061114,-,0.81,-0.000023,-19.842978,19.842978
0.811,21.052034,-0.814664,21.06779,-,0.811,-0.000026,-19.842979,19.842979
0.812,21.057747,-0.852489,21.074995,-,0.812,-0.000028,-19.842979,19.842979
0.813,21.06392,-0.89036,21.082729,-,0.813,-0.00003,-19.84298,19.84298
0.814,21.070552,-0.928282,21.09099,-,0.814,-0.000032,-19.84298,19.84298
0.815,21.077644,-0.966258,21.09978,-,0.815,-0.000034,-19.842981,19.842981
0.816,21.085195,-1.004292,21.109099,-,0.816,-0.000036,-19.842982,19.842982
0.817,21.093206,-1.042387,21.118947,-,0.817,-0.000038,-19.842983,19.842983
0.818,21.101676,-1.080547,21.129324,-,0.818,-0.00004,-19.842983,19.842983
0.819,21.110606,-1.118776,21.14023,-,0.819,-0.000042,-19.842984,19.842984
0.82,21.119994,-1.157079,21.151666,-,0.82,-0.000044,-19.842985,19.842985
0.821,21.129841,-1.195457,21.163632,-,0.821,-0.000047,-19.842986,19.842986
0.822,21.140148,-1.233916,21.176128,-,0.822,-0.000049,-19.842987,19.842987
0.823,21.150912,-1.272458,21.189154,-,0.823,-0.000051,-19.842988,19.842988
0.824,21.162136,-1.311089,21.202711,-,0.824,-0.000053,-19.84299,19.84299
0.825,21.173818,-1.349811,21.216798,-,0.825,-0.000055,-19.842991,19.842991
0.826,21.185958,-1.388628,21.231417,-,0.826,-0.000057,-19.842992,19.842992
0.827,21.198556,-1.427544,21.246568,-,0.827,-0.00006,-19.842993,19.842993
0.828,21.211612,-1.466563,21.26225,-,0.828,-0.000062,-19.842994,19.842994
0.829,21.225126,-1.505689,21.278465,-,0.829,-0.000064,-19.842996,19.842996
0.83,21.239097,-1.544926,21.295212,-,0.83,-0.000066,-19.842997,19.842997
0.831,21.253526,-1.584276,21.312492,-,0.831,-0.000068,-19.842999,19.842999
0.832,21.268412,-1.623745,21.330305,-,0.832,-0.000071,-19.843,19.843
0.833,21.283755,-1.663336,21.348652,-,0.833,-0.000073,-19.843002,19.843002
0.834,21.299555,-1.703053,21.367532,-,0.834,-0.000075,-19.843003,19.843003
0.835,21.315812,-1.7429,21.386948,-,0.835,-0.000077,-19.843005,19.843005
0.836,21.332525,-1.78288,21.406898,-,0.836,-0.00008,-19.843007,19.843007
0.837,21.349694,-1.822998,21.427383,-,0.837,-0.000082,-19.843008,19.843008
0.838,21.367318,-1.863257,21.448404,-,0.838,-0.000084,-19.84301,19.84301
0.839,21.385399,-1.903662,21.469961,-,0.839,-0.000087,-19.843012,19.843012
0.84,21.403935,-1.944216,21.492054,-,0.84,-0.000089,-19.843014,19.843014
0.841,21.422926,-1.984923,21.514685,-,0.841,-0.000091,-19.843016,19.843016
0.842,21.442372,-2.025788,21.537853,-,0.842,-0.000094,-19.843018,19.843018
0.843,21.462272,-2.066813,21.561559,-,0.843,-0.000096,-19.84302,19.84302
0.844,21.482627,-2.108004,21.585804,-,0.844,-0.000099,-19.843022,19.843022
0.845,21.503435,-2.149364,21.610587,-,0.845,-0.000101,-19.843024,19.843024
0.846,21.524697,-2.190896,21.635911,-,0.846,-0.000104,-19.843026,19.843026
0.847,21.546413,-2.232607,21.661774,-,0.847,-0.000106,-19.843028,19.843028
0.848,21.568581,-2.274498,21.688177,-,0.848,-0.000109,-19.843031,19.843031
0.849,21.591202,-2.316574,21.715122,-,0.849,-0.000111,-19.843033,19.843033
0.85,21.614276,-2.35884,21.742609,-,0.85,-0.000114,-19.843035,19.843035
0.851,21.637801,-2.401299,21.770638,-,0.851,-0.000116,-19.843038,19.843038
0.852,21.661778,-2.443956,21.79921,-,0.852,-0.000119,-19.84304,19.84304
0.853,21.686206,-2.486814,21.828325,-,0.853,-0.000121,-19.843043,19.843043
0.854,21.711084,-2.529878,21.857984,-,0.854,-0.000124,-19.843045,19.843045
0.855,21.736413,-2.573152,21.888188,-,0.855,-0.000127,-19.843048,19.843048
0.856,21.762192,-2.61664,21.918937,-,0.856,-0.000129,-19.843051,19.843051
0.857,21.78842,-2.660346,21.950232,-,0.857,-0.000132,-19.843053,19.843053
0.858,21.815098,-2.704275,21.982074,-,0.858,-0.000135,-19.843056,19.843056
0.859,21.842224,-2.74843,22.014463,-,0.859,-0.000137,-19.843059,19.843059
0.86,21.869798,-2.792817,22.047401,-,0.86,-0.00014,-19.843062,19.843062
0.861,21.897819,-2.837438,22.080886,-,0.861,-0.000143,-19.843065,19.843065
0.862,21.926288,-2.882299,22.114921,-,0.862,-0.000146,-19.843068,19.843068
0.863,21.955203,-2.927403,22.149506,-,0.863,-0.000148,-19.843071,19.843071
0.864,21.984564,-2.972756,22.184642,-,0.864,-0.000151,-19.843074,19.843074
0.865,22.014371,-3.018361,22.220329,-,0.865,-0.000154,-19.843077,19.843077
0.866,22.044623,-3.064223,22.256569,-,0.866,-0.000157,-19.84308,19.84308
0.867,22.075319,-3.110346,22.293361,-,0.867,-0.00016,-19.843083,19.843083
0.868,22.106458,-3.156734,22.330707,-,0.868,-0.000163,-19.843087,19.843087
0.869,22.138042,-3.203392,22.368608,-,0.869,-0.000166,-19.84309,19.84309
0.87,22.170067,-3.250325,22.407063,-,0.87,-0.000169,-19.843093,19.843093
0.871,22.202535,-3.297537,22.446075,-,0.871,-0.000172,-19.843097,19.843097
0.872,22.235443,-3.345031,22.485644,-,0.872,-0.000175,-19.8431,19.8431
0.873,22.268793,-3.392814,22.52577,-,0.873,-0.000178,-19.843104,19.843104
0.874,22.302582,-3.440889,22.566455,-,0.874,-0.000181,-19.843108,19.843108
0.875,22.336811,-3.489261,22.607699,-,0.875,-0.000185,-19.843111,19.843111
0.876,22.371478,-3.537935,22.649503,-,0.876,-0.000188,-19.843115,19.843115
0.877,22.406582,-3.586915,22.691868,-,0.877,-0.000191,-19.843119,19.843119
0.878,22.442124,-3.636205,22.734795,-,0.878,-0.000194,-19.843123,19.843123
0.879,22.478102,-3.685811,22.778285,-,0.879,-0.000198,-19.843127,19.843127
0.88,22.514515,-3.735737,22.822339,-,0.88,-0.000201,-19.843131,19.843131
0.881,22.551363,-3.785988,22.866957,-,0.881,-0.000204,-19.843135,19.843135
0.882,22.588645,-3.836568,22.91214,-,0.882,-0.000208,-19.843139,19.843139
0.883,22.62636,-3.887483,22.957889,-,0.883,-0.000211,-19.843143,19.843143
0.884,22.664507,-3.938737,23.004206,-,0.884,-0.000215,-19.843147,19.843147
0.885,22.703084,-3.990334,23.051091,-,0.885,-0.000218,-19.843151,19.843151
0.886,22.742092,-4.042281,23.098545,-,0.886,-0.000222,-19.843155,19.843155
0.887,22.78153,-4.09458,23.14657,-,0.887,-0.000226,-19.84316,19.84316
0.888,22.821395,-4.147239,23.195165,-,0.888,-0.000229,-19.843164,19.843164
0.889,22.861688,-4.200261,23.244332,-,0.889,-0.000233,-19.843169,19.843169
0.89,22.902407,-4.253651,23.294072,-,0.89,-0.000237,-19.843173,19.843173
0.891,22.943552,-4.307414,23.344387,-,0.891,-0.00024,-19.843178,19.843178
0.892,22.98512,-4.361556,23.395276,-,0.892,-0.000244,-19.843183,19.843183
0.893,23.027112,-4.416081,23.446741,-,0.893,-0.000248,-19.843187,19.843187
0.894,23.069526,-4.470994,23.498783,-,0.894,-0.000252,-19.843192,19.843192
0.895,23.11236,-4.526301,23.551404,-,0.895,-0.000256,-19.843197,19.843197
0.896,23.155615,-4.582007,23.604603,-,0.896,-0.00026,-19.843202,19.843202
0.897,23.199287,-4.638116,23.658383,-,0.897,-0.000264,-19.843207,19.843207
0.898,23.243378,-4.694635,23.712743,-,0.898,-0.000268,-19.843212,19.843212
0.899,23.287884,-4.751568,23.767686,-,0.899,-0.000272,-19.843217,19.843217
0.9,23.332804,-4.80892,23.823213,-,0.9,-0.000277,-19.843222,19.843222
0.901,23.378139,-4.866696,23.879324,-,0.901,-0.000281,-19.843227,19.843227
0.902,23.423885,-4.924903,23.93602,-,0.902,-0.000285,-19.843232,19.843232
0.903,23.470042,-4.983545,23.993303,-,0.903,-0.00029,-19.843238,19.843238
0.904,23.516608,-5.042628,24.051174,-,0.904,-0.000294,-19.843243,19.843243
0.905,23.563583,-5.102158,24.109634,-,0.905,-0.000298,-19.843249,19.843249
0.906,23.610963,-5.162138,24.168684,-,0.906,-0.000303,-19.843254,19.843254
0.907,23.658749,-5.222576,24.228325,-,0.907,-0.000308,-19.84326,19.84326
0.908,23.706938,-5.283477,24.288558,-,0.908,-0.000312,-19.843265,19.843265
0.909,23.755529,-5.344845,24.349385,-,0.909,-0.000317,-19.843271,19.843271
0.91,23.804521,-5.406687,24.410806,-,0.91,-0.000322,-19.843277,19.843277
0.911,23.85391,-5.469009,24.472824,-,0.911,-0.000326,-19.843283,19.843283
0.912,23.903697,-5.531815,24.535438,-,0.912,-0.000331,-19.843288,19.843288
0.913,23.95388,-5.595113,24.598651,-,0.913,-0.000336,-19.843294,19.843294
0.914,24.004455,-5.658906,24.662463,-,0.914,-0.000341,-19.8433,19.8433
0.915,24.055423,-5.723202,24.726876,-,0.915,-0.000346,-19.843307,19.843307
0.916,24.10678,-5.788006,24.791891,-,0.916,-0.000351,-19.843313,19.843313
0.917,24.158525,-5.853323,24.857509,-,0.917,-0.000357,-19.843319,19.843319
0.918,24.210657,-5.91916,24.923731,-,0.918,-0.000362,-19.843325,19.843325
0.919,24.263173,-5.985523,24.990559,-,0.919,-0.000367,-19.843332,19.843332
0.92,24.316071,-6.052417,25.057994,-,0.92,-0.000373,-19.843338,19.843338
0.921,24.369349,-6.119848,25.126037,-,0.921,-0.000378,-19.843345,19.843345
0.922,24.423006,-6.187823,25.194689,-,0.922,-0.000384,-19.843351,19.843351
0.923,24.477038,-6.256347,25.263952,-,0.923,-0.000389,-19.843358,19.843358
0.924,24.531445,-6.325427,25.333828,-,0.924,-0.000395,-19.843365,19.843365
0.925,24.586223,-6.395069,25.404316,-,0.925,-0.000401,-19.843371,19.843371
0.926,24.641371,-6.465278,25.475419,-,0.926,-0.000406,-19.843378,19.843378
0.927,24.696886,-6.536061,25.547138,-,0.927,-0.000412,-19.843385,19.843385
0.928,24.752766,-6.607425,25.619475,-,0.928,-0.000418,-19.843392,19.843392
0.929,24.809008,-6.679376,25.692429,-,0.929,-0.000424,-19.843399,19.843399
0.93,24.86561,-6.751919,25.766004,-,0.93,-0.00043,-19.843406,19.843406
0.931,24.92257,-6.825062,25.8402,-,0.931,-0.000437,-19.843413,19.843413
0.932,24.979885,-6.89881,25.915019,-,0.932,-0.000443,-19.843421,19.843421
0.933,25.037552,-6.973171,25.990462,-,0.933,-0.000449,-19.843428,19.843428
0.934,25.095569,-7.04815,26.06653,-,0.934,-0.000456,-19.843435,19.843435
0.935,25.153933,-7.123754,26.143225,-,0.935,-0.000462,-19.843443,19.843443
0.936,25.212641,-7.19999,26.220548,-,0.936,-0.000469,-19.843451,19.843451
0.937,25.271691,-7.276864,26.2985,-,0.937,-0.000476,-19.843458,19.843458
0.938,25.33108,-7.354383,26.377084,-,0.938,-0.000482,-19.843466,19.843466
0.939,25.390804,-7.432554,26.4563,-,0.939,-0.000489,-19.843474,19.843474
0.94,25.450861,-7.511384,26.536149,-,0.94,-0.000496,-19.843482,19.843482
0.941,25.511248,-7.590878,26.616634,-,0.941,-0.000503,-19.843489,19.843489
0.942,25.571961,-7.671044,26.697755,-,0.942,-0.000511,-19.843497,19.843497
0.943,25.632998,-7.75189,26.779514,-,0.943,-0.000518,-19.843506,19.843506
0.944,25.694355,-7.833421,26.861913,-,0.944,-0.000525,-19.843514,19.843514
0.945,25.756029,-7.915644,26.944952,-,0.945,-0.000533,-19.843522,19.843522
0.946,25.818016,-7.998568,27.028634,-,0.946,-0.00054,-19.84353,19.84353
0.947,25.880314,-8.082198,27.112959,-,0.947,-0.000548,-19.843539,19.843539
0.948,25.942918,-8.166542,27.19793,-,0.948,-0.000556,-19.843547,19.843547
0.949,26.005825,-8.251606,27.283547,-,0.949,-0.000564,-19.843556,19.843556
0.95,26.069032,-8.337399,27.369813,-,0.95,-0.000572,-19.843564,19.843564
0.951,26.132535,-8.423927,27.456728,-,0.951,-0.00058,-19.843573,19.843573
0.952,26.196329,-8.511197,27.544294,-,0.952,-0.000588,-19.843582,19.843582
0.953,26.260412,-8.599218,27.632513,-,0.953,-0.000596,-19.84359,19.84359
0.954,26.324779,-8.687995,27.721386,-,0.954,-0.000605,-19.843599,19.843599
0.955,26.389427,-8.777537,27.810915,-,0.955,-0.000613,-19.843608,19.843608
0.956,26.45435,-8.86785,27.901101,-,0.956,-0.000622,-19.843617,19.843617
0.957,26.519546,-8.958944,27.991945,-,0.957,-0.000631,-19.843627,19.843627
0.958,26.585009,-9.050823,28.083449,-,0.958,-0.000639,-19.843636,19.843636
0.959,26.650736,-9.143498,28.175615,-,0.959,-0.000648,-19.843645,19.843645
0.96,26.716722,-9.236974,28.268444,-,0.96,-0.000658,-19.843655,19.843655
0.961,26.782963,-9.33126,28.361938,-,0.961,-0.000667,-19.843664,19.843664
0.962,26.849454,-9.426364,28.456098,-,0.962,-0.000676,-19.843674,19.843674
0.963,26.91619,-9.522293,28.550926,-,0.963,-0.000686,-19.843683,19.843683
0.964,26.983168,-9.619054,28.646423,-,0.964,-0.000695,-19.843693,19.843693
0.965,27.050381,-9.716656,28.74259,-,0.965,-0.000705,-19.843703,19.843703
0.966,27.117825,-9.815107,28.83943,-,0.966,-0.000715,-19.843713,19.843713
0.967,27.185495,-9.914414,28.936944,-,0.967,-0.000725,-19.843722,19.843722
0.968,27.253386,-10.014585,29.035133,-,0.968,-0.000735,-19.843732,19.843732
0.969,27.321493,-10.115629,29.133999,-,0.969,-0.000746,-19.843743,19.843743
0.97,27.38981,-10.217553,29.233544,-,0.97,-0.000756,-19.843753,19.843753
0.971,27.458332,-10.320366,29.333768,-,0.971,-0.000767,-19.843763,19.843763
0.972,27.527054,-10.424076,29.434675,-,0.972,-0.000777,-19.843773,19.843773
0.973,27.59597,-10.52869,29.536264,-,0.973,-0.000788,-19.843784,19.843784
0.974,27.665075,-10.634217,29.638538,-,0.974,-0.000799,-19.843794,19.843794
0.975,27.734362,-10.740665,29.741498,-,0.975,-0.000811,-19.843805,19.843805
0.976,27.803826,-10.848043,29.845146,-,0.976,-0.000822,-19.843816,19.843816
0.977,27.87346,-10.956359,29.949484,-,0.977,-0.000833,-19.843826,19.843826
0.978,27.943259,-11.065621,30.054512,-,0.978,-0.000845,-19.843837,19.843837
0.979,28.013216,-11.175838,30.160233,-,0.979,-0.000857,-19.843848,19.843848
0.98,28.083326,-11.287018,30.266648,-,0.98,-0.000869,-19.843859,19.843859
0.981,28.153581,-11.39917,30.373759,-,0.981,-0.000881,-19.84387,19.84387
0.982,28.223975,-11.512302,30.481566,-,0.982,-0.000893,-19.843881,19.843881
0.983,28.294502,-11.626423,30.590073,-,0.983,-0.000906,-19.843892,19.843893
0.984,28.365154,-11.741541,30.69928,-,0.984,-0.000919,-19.843904,19.843904
0.985,28.435925,-11.857666,30.809188,-,0.985,-0.000931,-19.843915,19.843915
0.986,28.506808,-11.974805,30.9198,-,0.986,-0.000944,-19.843927,19.843927
0.987,28.577795,-12.092968,31.031117,-,0.987,-0.000958,-19.843938,19.843938
0.988,28.64888,-12.212163,31.143141,-,0.988,-0.000971,-19.84395,19.84395
0.989,28.720054,-12.332399,31.255873,-,0.989,-0.000985,-19.843962,19.843962
0.99,28.791311,-12.453686,31.369314,-,0.99,-0.000998,-19.843973,19.843973
0.991,28.862642,-12.576032,31.483467,-,0.991,-0.001012,-19.843985,19.843985
0.992,28.93404,-12.699445,31.598332,-,0.992,-0.001026,-19.843997,19.843997
0.993,29.005497,-12.823936,31.713911,-,0.993,-0.001041,-19.844009,19.844009
0.994,29.077005,-12.949512,31.830207,-,0.994,-0.001055,-19.844021,19.844021
0.995,29.148555,-13.076183,31.947219,-,0.995,-0.00107,-19.844034,19.844034
0.996,29.220139,-13.203959,32.064951,-,0.996,-0.001085,-19.844046,19.844046
0.997,29.29175,-13.332848,32.183403,-,0.997,-0.0011,-19.844058,19.844058
0.998,29.363377,-13.462859,32.302577,-,0.998,-0.001115,-19.844071,19.844071
0.999,20.807197,9.880158,23.033822,-,0.999,-0.000571,-19.843055,19.843055
1,20.711467,9.781065,22.904892,-,1,-0.000567,-19.843041,19.843041
1.001,20.615762,9.682868,22.77647,-,1.001,-0.000563,-19.843028,19.843028
1.002,20.520088,9.58556,22.648553,-,1.002,-0.000559,-19.843015,19.843015
1.003,20.424448,9.489133,22.521139,-,1.003,-0.000555,-19.843002,19.843002
1.004,20.328847,9.393579,22.394226,-,1.004,-0.000551,-19.842989,19.842989
1.005,20.23329,9.298893,22.267811,-,1.005,-0.000546,-19.842977,19.842977
1.006,20.137781,9.205065,22.141893,-,1.006,-0.000542,-19.842964,19.842964
1.007,20.042323,9.11209,22.016469,-,1.007,-0.000538,-19.842952,19.842952
1.008,19.946923,9.019959,21.891537,-,1.008,-0.000534,-19.84294,19.84294
1.009,19.851582,8.928666,21.767094,-,1.009,-0.00053,-19.842927,19.842927
1.01,19.756305,8.838203,21.643138,-,1.01,-0.000526,-19.842916,19.842916
1.011,19.661097,8.748564,21.519668,-,1.011,-0.000522,-19.842904,19.842904
1.012,19.56596,8.659741,21.39668,-,1.012,-0.000517,-19.842892,19.842892
1.013,19.470899,8.571728,21.274173,-,1.013,-0.000513,-19.842881,19.842881
1.014,19.375917,8.484517,21.152144,-,1.014,-0.000509,-19.842869,19.842869
1.015,19.281017,8.398102,21.030591,-,1.015,-0.000505,-19.842858,19.842858
1.016,19.186204,8.312475,20.909511,-,1.016,-0.000501,-19.842847,19.842847
1.017,19.09148,8.227631,20.788903,-,1.017,-0.000497,-19.842836,19.842836
1.018,18.996848,8.143562,20.668765,-,1.018,-0.000493,-19.842825,19.842825
1.019,18.902313,8.060261,20.549093,-,1.019,-0.000488,-19.842814,19.842814
1.02,18.807876,7.977722,20.429886,-,1.02,-0.000484,-19.842804,19.842804
1.021,18.713542,7.895938,20.311142,-,1.021,-0.00048,-19.842793,19.842793
1.022,18.619312,7.814903,20.192858,-,1.022,-0.000476,-19.842783,19.842783
1.023,18.525191,7.73461,20.075031,-,1.023,-0.000472,-19.842773,19.842773
1.024,18.43118,7.655052,19.957661,-,1.024,-0.000468,-19.842763,19.842763
1.025,18.337282,7.576224,19.840743,-,1.025,-0.000464,-19.842753,19.842753
1.026,18.243501,7.498118,19.724277,-,1.026,-0.00046,-19.842743,19.842743
1.027,18.149839,7.420729,19.60826,-,1.027,-0.000456,-19.842733,19.842733
1.028,18.056298,7.34405,19.49269,-,1.028,-0.000452,-19.842723,19.842723
1.029,17.962881,7.268074,19.377564,-,1.029,-0.000448,-19.842714,19.842714
1.03,17.86959,7.192796,19.26288,-,1.03,-0.000444,-19.842704,19.842704
1.031,17.776428,7.118209,19.148637,-,1.031,-0.00044,-19.842695,19.842695
1.032,17.683396,7.044308,19.034831,-,1.032,-0.000436,-19.842686,19.842686
1.033,17.590498,6.971085,18.92146,-,1.033,-0.000432,-19.842677,19.842677
1.034,17.497735,6.898536,18.808523,-,1.034,-0.000428,-19.842668,19.842668
1.035,17.40511,6.826653,18.696017,-,1.035,-0.000424,-19.842659,19.842659
1.036,17.312624,6.755431,18.583939,-,1.036,-0.00042,-19.84265,19.84265
1.037,17.220279,6.684865,18.472288,-,1.037,-0.000416,-19.842641,19.842641
1.038,17.128078,6.614947,18.361062,-,1.038,-0.000412,-19.842633,19.842633
1.039,17.036022,6.545673,18.250257,-,1.039,-0.000408,-19.842624,19.842624
1.04,16.944113,6.477036,18.139873,-,1.04,-0.000404,-19.842616,19.842616
1.041,16.852353,6.409031,18.029906,-,1.041,-0.000401,-19.842608,19.842608
1.042,16.760744,6.341652,17.920354,-,1.042,-0.000397,-19.842599,19.842599
1.043,16.669287,6.274894,17.811216,-,1.043,-0.000393,-19.842591,19.842591
1.044,16.577983,6.20875,17.702489,-,1.044,-0.000389,-19.842583,19.842583
1.045,16.486835,6.143215,17.59417,-,1.045,-0.000385,-19.842575,19.842575
1.046,16.395844,6.078283,17.486258,-,1.046,-0.000382,-19.842568,19.842568
